"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Standard deviation",2.40833066302178,1.50394012549194,0.578723416466507,0.450714492950192,0.353879829064995,0.317917571419083,0.275189665246032,0.229389912930551,0.213052974430653
"Proportion of Variance",0.64445,0.25132,0.03721,0.02257,0.01391,0.01123,0.00841,0.00585,0.00504
"Cumulative Proportion",0.64445,0.89577,0.93298,0.95555,0.96947,0.9807,0.98911,0.99496,1
"eigen",5.80005658245095,2.26183590106471,0.334920792766666,0.203143554155349,0.12523093341907,0.101071582217007,0.075729351858223,0.0526197321542857,0.0453915699137485
"SVL",0.386455170577989,0.0950691387829286,-0.214307902262874,-0.233627678236735,-0.760540247017862,-0.308884408634577,0.23560357356212,-0.0792506239403955,0.0740522820195427
"HW",0.398417861626237,0.0213358791727841,-0.0996912507744973,0.0507940594714889,-0.0493841309962473,0.795122078357607,0.0581747862647742,-0.430339020390592,-0.0711035563446907
"SNL",0.358253252900326,-0.0554465972455976,0.769524663376296,-0.484542662572561,0.0655208043573242,0.0507512550793063,-0.041222439319905,0.159825353886776,0.0867086114445417
"ForearmL",0.371502741218171,0.228346984871234,0.0283680829761706,0.263488859494464,0.468053189267605,-0.280828456474853,0.618332992010585,-0.141916869424903,0.197984200815153
"X3FDW",-0.204472349769817,0.560825808303293,0.0767477239391552,-0.216139937758331,0.059216178399025,-0.156639522573216,-0.343940277496365,-0.596699288262882,0.297777323150529
"FemurL",0.373398026055017,0.236454593533244,-0.196592036759677,0.239596143019614,0.025430426077433,0.104175075489428,-0.437565664654462,0.474088579029686,0.529986371611059
"TibiaL",0.362092363811516,0.279018128872793,0.129151048754272,0.31233834476484,0.00930580633409747,-0.244960251918802,-0.362311829737732,-0.0316357848278106,-0.696017213094418
"X3TDW",-0.125951005448504,0.604673558226151,-0.235759450443735,-0.433741640245342,0.123341036307962,0.229503962886763,0.243881628828223,0.406920416771519,-0.286084512983001
"X3ToeWeb",0.312003790582999,-0.348385387388072,-0.484107083149524,-0.498818868945743,0.419904875966966,-0.207038668771148,-0.237833840399075,-0.124290203616095,-0.0830856122513916
